contract_id,contract_reg_type_id,contract_reg_type_en,contract_start_date,contract_end_date,contract_amount,annual_amount,no_of_prop,line_number,is_free_hold,ejari_bus_property_type_id,ejari_bus_property_type_en,ejari_property_type_id,ejari_property_type_en,ejari_property_sub_type_id,ejari_property_sub_type_en,property_usage_en,project_number,project_name_en,master_project_en,area_id,area_name_en,actual_area,nearest_landmark_en,nearest_metro_en,nearest_mall_en,tenant_type_id,tenant_type_en
CNT2031267046,1,New,30-11-2022,29-11-2023,50000,50000,1,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,346,Al Hamriya Port,41.0,Dubai International Airport,Abu Hail Metro Station,,2.0,Authority
CNT1277942079,1,New,21-08-2020,20-10-2021,53130,53130,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,401,Wadi Al Amardi,36.0,,,City Centre Mirdif,1.0,Person
CNT761590425,1,New,01-03-2018,28-02-2019,137500,137500,1,1,1,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,1297.0,MARINA RESIDENCE,Palm Jumeirah,410,Palm Jumeirah,174.0,Burj Al Arab,Palm Jumeirah,Marina Mall,1.0,Person
CNT423077275,1,New,15-04-2016,14-04-2019,481272,160424,2,1,0,2,Unit,2.0,Office,422.0,Office,Commercial,,,,338,Al Goze First,84.0,Downtown Dubai,Business Bay Metro Station,Dubai Mall,2.0,Authority
CNT260691473,1,New,01-12-2014,30-11-2015,88000,88000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,301,Al Nahda Second,114.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CNT1027071752,2,Renew,01-05-2019,30-04-2020,95000,95000,1,1,0,2,Unit,842.0,Flat,3.0,3 bed rooms+hall,Residential,,,,244,Al Murqabat,184.0,Dubai International Airport,Al Rigga Metro Station,Dubai Mall,2.0,Authority
CNT2086260698,1,New,13-07-2023,12-07-2024,29000,29000,1,1,1,2,Unit,842.0,Flat,11.0,Studio,Residential,,,,372,Al Goze Industrial Second,38.0,Downtown Dubai,Noor Bank Metro Station,Mall of the Emirates,1.0,Person
CNT754720066,1,New,10-02-2018,09-02-2019,55000,55000,1,2,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,301,Al Nahda Second,93.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CNT746572135,2,Renew,03-01-2018,02-01-2019,255000,255000,1,1,0,4,Villa,19.0,Complex Villas,5.0,5 bed rooms+hall,Residential,,,,368,Al Barsha First,582.0,Burj Al Arab,Sharaf Dg Metro Station,Mall of the Emirates,1.0,Person
CNT2090001311,1,New,20-08-2023,19-08-2024,80000,80000,1,1,1,2,Unit,2.0,Office,422.0,Office,Commercial,,,TECOM Site C,443,Al Thanyah First,94.0,Burj Al Arab,Dubai Internet City,Mall of the Emirates,2.0,Authority
CNT397369943,2,Renew,01-01-2016,31-12-2016,75250,75250,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,271,Al Karama,0.0,Dubai International Airport,Burjuman Metro Station,Dubai Mall,1.0,Person
CNT1942270381,2,Renew,05-07-2022,04-07-2023,42000,42000,1,1,0,2,Unit,842.0,Flat,2.0,2 bed rooms+hall,Residential,,,,355,Al Nahda First,111.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
CNT124287913,2,Renew,15-04-2013,14-04-2014,38000,38000,1,1,0,2,Unit,1.0,Shop,421.0,Shop,Commercial,,,,339,Al Mararr,19.0,Dubai International Airport,Palm Deira Metro Stations,Dubai Mall,1.0,Person
CRT698160916,2,Renew,01-12-2016,30-11-2017,45160,45160,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,361,Muhaisanah Fourth,105.0,Dubai International Airport,Al Qusais Metro Station,City Centre Mirdif,1.0,Person
CNT255420776,1,New,14-09-2013,14-09-2014,45000,44875,1,1,0,2,Unit,842.0,Flat,1.0,1bed room+Hall,Residential,,,,301,Al Nahda Second,1.0,Dubai International Airport,STADIUM Metro Station,City Centre Mirdif,1.0,Person
